Title,Genre1,day,month,year,Runtime,IMDB Score,Language
Sturgill Simpson Presents: Sound & Fury,Animation ,27,9,2019,41,6.4,English
Take Your Pills,Documentary,16,3,2018,87,6.4,English
The Heartbreak Club,Comedy-drama,14,1,2021,101,6.4,Indonesian
The Mars Generation,Documentary,5,5,2017,97,6.4,English
The Occupant,Thriller,25,3,2020,103,6.4,Spanish
The Willoughbys,Animation,22,4,2020,90,6.4,English
Triple Frontier,Action-thriller,13,3,2019,125,6.4,English
Two Catalonias,Documentary,28,9,2018,116,6.4,Spanish
Walk. Ride. Rodeo.,Drama,8,3,2019,99,6.4,English
Wheelman,Action thriller,20,10,2017,82,6.4,English
When We First Met,Romantic comedy,9,2,2018,97,6.4,English
1922,Horror,20,10,2017,102,6.3,English
A Tale of Two Kitchens,Documentary,22,5,2019,30,6.3,English
Alex Strangelove,Romantic comedy,8,6,2018,99,6.3,English
Apostle,Horror-thriller,12,10,2018,129,6.3,English
Benji,Family film,16,3,2018,87,6.3,English
Bright,Urban fantasy,22,12,2017,117,6.3,English
Cargo,Drama,18,5,2018,104,6.3,English
Concrete Cowboy,Drama,2,4,2021,111,6.3,English
Feel the Beat,Family,19,6,2020,107,6.3,English
Get the Goat,Comedy,18,3,2021,97,6.3,Portuguese
I Am Not an Easy Man,Romantic,13,4,2018,98,6.3,French
June & Kopi,Drama,28,1,2021,90,6.3,Indonesian
Music Teacher,Drama,19,4,2019,101,6.3,Hindi
Nail Bomber: Manhunt,Documentary,26,5,2021,72,6.3,English
Notes for My Son,Drama,24,11,2020,83,6.3,Spanish
Polar,Action,25,1,2019,118,6.3,English
Porta dos Fundos: The Last Hangover,Comedy,21,12,2018,44,6.3,Portuguese
Sand Castle,War,21,4,2017,113,6.3,English
Shimmer Lake,Crime thriller,9,6,2017,86,6.3,English
Spectral,Science fiction,9,12,2016,108,6.3,English
The Babysitter,Teen comedy horror,13,10,2017,85,6.3,English
The Discovery,Science fiction,31,3,2017,102,6.3,English
The Forest of Love,Drama,11,10,2019,151,6.3,Japanese
The Laundromat,Comedy-drama,18,10,2019,98,6.3,English
The Legend of Cocaine Island,Documentary,29,3,2019,87,6.3,English
The Outsider,Crime drama,9,3,2018,120,6.3,English
Time to Hunt,Thriller,23,4,2020,134,6.3,Korean
To All the Boys: Always and Forever,Romantic comedy,12,2,2021,109,6.3,English
Travis Scott: Look Mom I Can Fly,Documentary,28,8,2019,85,6.3,English
Uncorked,Drama,27,3,2020,103,6.3,English
Alien Xmas,Stop Motion,20,11,2020,42,6.2,English
Baggio: The Divine Ponytail,Biopic,26,5,2021,92,6.2,Italian
Below Zero,Drama,29,1,2021,106,6.2,Spanish
Citation,Drama,6,11,2020,151,6.2,English
Crazy Awesome Teachers,Comedy,17,8,2020,101,6.2,Indonesian
Have You Ever Seen Fireflies?,Comedy,9,4,2021,114,6.2,Turkish
High Flying Bird,Sports,8,2,2019,90,6.2,English
In the Shadow of the Moon,Thriller,27,9,2019,115,6.2,English
Lost Bullet,Thriller,19,6,2020,92,6.2,French
Octonauts & the Caves of Sac Actun,Animation,14,8,2020,72,6.2,English
Offering to the Storm,Thriller,24,7,2020,139,6.2,Spanish
Roxanne Roxanne,Biopic,23,3,2018,98,6.2,English
Someone Great,Romantic,19,4,2019,92,6.2,English
Spenser Confidential,Action,6,3,2020,111,6.2,English
The Land of Steady Habits,Drama,14,9,2018,98,6.2,English
The Rachel Divide,Documentary,27,4,2018,104,6.2,English
Voyuer,Documentary,1,12,2017,95,6.2,English
Win It All,Comedy,7,4,2017,88,6.2,English
6 Underground,Action,13,12,2019,128,6.1,English
Between Two Ferns: The Movie,Comedy,20,9,2019,82,6.1,English
Burning Sands,Drama,10,3,2017,102,6.1,English
Casting JonBenet,Documentary,28,4,2017,80,6.1,English
Deidra & Laney Rob a Train,Drama,17,3,2017,94,6.1,English
Finding 'Ohana,Family,29,1,2021,123,6.1,English
Holidate,Romantic,28,10,2020,104,6.1,English
Holiday in the Wild,Adventure,1,11,2019,85,6.1,English
Hot Girls Wanted,Documentary,29,5,2015,84,6.1,English
Like Father,Comedy,3,8,2018,103,6.1,English
Lost Girls,Crime,13,3,2020,95,6.1,English
Otherhood,Comedy,2,8,2019,100,6.1,English
Pee-wee's Big Holiday,Adventure,18,3,2016,89,6.1,English
Rogue City,Crime drama,30,10,2020,116,6.1,French
Sergio,Biopic,17,4,2020,118,6.1,English
Stuck Apart,Drama,8,1,2021,96,6.1,Turkish
Tersanjung the Movie,Drama,1,4,2021,114,6.1,Indonesian
The Killer,Western,10,11,2017,99,6.1,Portuguese
The Lovebirds,Romantic,22,5,2020,87,6.1,English
The Most Hated Woman in America,Biopic,24,3,2017,92,6.1,English
The Perfection,Horror-thriller,24,5,2019,90,6.1,English
Tribhanga – Tedhi Medhi Crazy,Drama,15,1,2021,95,6.1,Hindi
Unknown Origins,Thriller,28,8,2020,96,6.1,Spanish
Work It,Dance comedy,7,8,2020,93,6.1,English
Come Sunday,Biopic,13,4,2018,106,6,English
Forgive Us Our Debts,Drama,4,5,2018,104,6,Italian
iBoy,Science fiction,27,1,2017,90,6,English
Lovefucked,Drama,9,8,2019,106,6,Hindi
Juanita,Drama,8,3,2019,90,6,English
Murder Mystery,mystery,14,6,2019,97,6,English
Project Power,Superhero,14,8,2020,113,6,English
Rebecca,Romantic thriller,21,10,2020,123,6,English
The Christmas Chronicles: Part Two,Christmas,25,11,2020,115,6,English
The Kissing Booth,Romantic,11,5,2018,105,6,English
The Princess Switch,Romantic,16,11,2018,101,6,English
To All the Boys: P.S. I Still Love You,Romantic ,12,2,2020,102,6,English
War Machine,War-Comedy,26,5,2017,122,6,English
6 Balloons,Drama,6,4,2018,75,5.9,English
A Fall from Grace,Thriller,17,1,2020,120,5.9,English
Amateur,Sports,6,4,2018,96,5.9,English
Army of the Dead,Zombie,21,5,2021,148,5.9,English
Cam,horror,16,11,2018,94,5.9,English
Earthquake Bird,Mystery,15,11,2019,107,5.9,English
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,16,7,2019,32,5.9,English
Horse Girl,Drama,7,2,2020,104,5.9,English
Notes from Dunblane: Lesson from a School Shooting,Documentary,28,9,2018,23,5.9,English
Maska,Romantic,27,3,2020,111,5.9,Hindi
The Decline,Thriller,27,3,2020,83,5.9,French
The Minimalists: Less Is Now,Documentary,1,1,2021,53,5.9,English
